accuracy,precision,sensitivity,specificity,f1,auc,tn,fp,fn,tp,scenario,model,n_features,n_train_test_samples,best_cv_score,best_params
0.7159090909090909,0.7419354838709677,0.575,0.8333333333333334,0.647887323943662,0.7390625,40.0,8.0,17.0,23.0,mfcc,svm_linear,450,88,0.7102706734867861,"{'classifier__C': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.7045454545454546,0.6842105263157895,0.65,0.75,0.6666666666666666,0.7510416666666666,36.0,12.0,14.0,26.0,mfcc,svm_rbf,450,88,0.787519223418346,"{'classifier__C': 1.0, 'classifier__gamma': 0.01, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.7613636363636364,0.7317073170731707,0.75,0.7708333333333334,0.7407407407407407,0.7880208333333333,37.0,11.0,10.0,30.0,mfcc,mlp,450,88,0.7614983904009365,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.6931818181818182,0.6666666666666666,0.65,0.7291666666666666,0.6582278481012658,0.7869791666666667,35.0,13.0,14.0,26.0,harmonics,svm_linear,64,88,0.6703120852577374,"{'classifier__C': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.7159090909090909,0.6829268292682927,0.7,0.7291666666666666,0.691358024691358,0.7979166666666667,35.0,13.0,12.0,28.0,harmonics,svm_rbf,64,88,0.7209995997615747,"{'classifier__C': 1.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.7272727272727273,0.7105263157894737,0.675,0.7708333333333334,0.6923076923076923,0.7510416666666667,37.0,11.0,13.0,27.0,harmonics,mlp,64,88,0.6201636474261836,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.4431818181818182,0.37142857142857144,0.325,0.5416666666666666,0.3466666666666667,0.3776041666666667,26.0,22.0,27.0,13.0,energy_entropy_zcr,svm_linear,73,88,0.49827834186455233,"{'classifier__C': 10.0, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.5909090909090909,0.5555555555555556,0.5,0.6666666666666666,0.5263157894736842,0.6364583333333333,32.0,16.0,20.0,20.0,energy_entropy_zcr,svm_rbf,73,88,0.5951459060803642,"{'classifier__C': 10.0, 'classifier__gamma': 0.1, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.6818181818181818,0.7142857142857143,0.5,0.8333333333333334,0.5882352941176471,0.6760416666666667,40.0,8.0,20.0,20.0,energy_entropy_zcr,mlp,73,88,0.5619209039548022,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (128, 64), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.7159090909090909,0.7027027027027027,0.65,0.7708333333333334,0.6753246753246753,0.753125,37.0,11.0,14.0,26.0,all_without_glottal,svm_linear,587,88,0.7179487179487178,"{'classifier__C': 0.1, 'imputer__strategy': 'median', 'scaler': StandardScaler()}"
0.7727272727272727,0.8125,0.65,0.875,0.7222222222222222,0.8067708333333333,42.0,6.0,14.0,26.0,all_without_glottal,svm_rbf,587,88,0.8116462703962704,"{'classifier__C': 10.0, 'classifier__gamma': 'scale', 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
0.7272727272727273,0.7222222222222222,0.65,0.7916666666666666,0.6842105263157895,0.7682291666666666,38.0,10.0,14.0,26.0,all_without_glottal,mlp,587,88,0.7370928577777892,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (64,), 'classifier__learning_rate_init': 0.001, 'imputer__strategy': 'median', 'scaler': RobustScaler()}"
